"20671,""[PP]Dogfood: Unable to focus or select unless user clicks outside of window and comes back"",""major""";;
"6323,""PNGs and JPEGs aren't displayed on FreeBSD"",""major""";;
"21293,""HTML button and textfield print very big"",""major""";;
"4806,""Crash trying http://1"",""major""";;
"9497,""[PP]on startup, hangs: failure to load file://../navigator.xul on linux with necko enabled"",""major""";;
"11062,""Page manager takes too much memory"",""major""";;
"3093,""NECKO: Stream blocking indefinitely"",""major""";;
"7541,""Add include file to support Neutrino  /cvsroot/mozilla/network/cnvts/cvextcon.c"",""major""";;
"10274,""NECKO: linking to empty stylesheet causes error"",""major""";;
"10437,""Need to finish file transport"",""major""";;
"2388,""[PP]http://www.whowhere.com: Page does not load"",""major""";;
"2393,""[PP] http://www.go2net.com/index.html - Page does not load (CSS?)"",""major""";;
"10121,""Cannot return to webpages that have already been visited."",""major""";;
"7737,""NECKO: [PP] A crash occurs in Apprunner after clicking on My Netscape."",""major""";;
"6137,""Mozilla vexes server with """"Bad Request"""""",""major""";;
"1769,""xpviewer hangs trying to access this page"",""major""";;
"17407,""[DOGFOOD] Can't search for bugs by milestone"",""major""";;
"11613,""Semicolon in URL problem (was - assert on windows going to cbs sportsline url)"",""major""";;
"13989,""error viewing checkin info off of tinderbox"",""major""";;
"10128,""sched - Form Submission (POST) not implemented in Necko."",""major""";;
"16910,""Expanding ftp file structure by clicking nodes causes crash"",""major""";;
"13635,""nsWebShell::Init() opening registry to add a key for stream converters"",""major""";;
"13478,""MLK: File channel or protocol handler?"",""major""";;
"13479,""MLK: leak of 116 bytes - File channel or protocol handler or nsThreadPool?"",""major""";;
"18859,""[DOGFOOD] URL bar messed up"",""major""";;
"18134,""DOGFOOD: relative URLs do not resolve correctly from web-based pages (FILE: access o.k.)"",""major""";;
"12288,""[Dogfood][Tree] Shift-click doesn't work in tree control"",""major""";;
"19062,""Positioning <form> with inline style sheet causes segmentation fault"",""major""";;
"20290,""[dogfood] Multibyte charset menu broken"",""major""";;
"14582,""backspace won't work in text input widget"",""major""";;
"20213,""Flash and Quicktime Errors"",""major""";;
"15170,""[GFX]Clicking on different field names doesn't change entries"",""major""";;
"13581,""[PP]Linux: combobox leaves you in Xserver grab"",""major""";;
"20066,""sched: Rewrite null termination semantics for clipboard/D&D api's"",""major""";;
"11101,""[DOGFOOD] Garbage bits under XP menus"",""major""";;
"11181,""Menus: accesskey attribute on <menu> tag doesn't work on menus in dialogs"",""major""";;
"20538,""Can't close windows"",""major""";;
"3579,""[CODE CLEANUP] Change CLSID to ClassID"",""major""";;
"21536,""Dogfood: Navigation keys not working in text fields"",""major""";;
"16331,""Proxy is not working."",""major""";;
"20231,""image in frames rendered mis-assembled"",""major""";;
"22138,""nsCookieHTTPNotify::ModifyRequest() assumes HTTP loadgroup exists"",""major""";;
"21209,""Japanese Hiragana does not display when certain Big5 fonts are installed"",""major""";;
"18682,""Observer service should not hold strong references"",""major""";;
"17370,""Clicking in text entry lines (& the URL bar) causes a disk hit"",""major""";;
"17878,""nsLWBreakerFImp::GetBreaker() oddities"",""major""";;
"13524,""[BETA] JS string object function does not work on Non-Ascii strings"",""major""";;
"23348,""NS_IMPL_MODULE() system needs registration hook"",""major""";;
"23757,""[DOGFOOD][PP]Scroll bar missing from select element"",""major""";;
"12737,""{css1} {compat} -moz-fixed should be compat mode only"",""major""";;
"20955,""purify reports FMM in NavigatorImpl::GetAppVersion and NavigatorImpl::GetAppName"",""major""";;
"3346,""optimized build creates wrong content model, debug build ok"",""major""";;
"23707,""Entire right side of Bugzilla page does not show, empty scroll space"",""major""";;
"14419,""option.text needs to be read/write"",""major""";;
"6160,""[patch] build fix for nsProxyEventPrivate.h"",""major""";;
