"Bug ID,""Summary"",""Severity""";
"73314,""creating a locked NewCache file renders Mozilla inoperable"",""blocker""";
"74766,""Trashing memory in nsDiskCacheDevice::evictDiskCacheEntries()"",""blocker""";
"75876,""link of new cache code should use EXTRA_DSO_LDOPTS, not LIBS"",""blocker""";
"77733,""Unable to print..."",""blocker""";
"74217,""Try to select text in textfields invokes d&d or crash"",""blocker""";
"76489,""hp tinderbox busted"",""blocker""";
"80097,""nsSupportsStringImpl tries to memcpy to nsnull"",""blocker""";
"10373,""Non-ASCII url cannot be found"",""blocker""";
"80407,""browser won't start - claims it needs OLEACC.DLL"",""blocker""";
"80196,""Mac drag service custom drag region broken"",""blocker""";
"80457,""crash or hang loading page in nsHttpChunkedDecoder"",""blocker""";
"81071,""Busted solaris forte port"",""blocker""";
"81010,""no GB2312 charset on Preferences | language menu and Character Coding menu"",""blocker""";
"80268,""html form select is broken so cannot use Bugzilla for reporting, updating or querying bugs"",""blocker""";
"80424,""form (post) submission does nothing"",""blocker""";
"54291,""Need Alternative Location to Load Java Plugins"",""blocker""";
"79010,""[xpcdom] Components.interfaces needs to be accessable from web content."",""blocker""";
"76568,""[xpcdom] setting childWindow.opener = self";" forces JS variables not to increment its value."",""blocker"""
"81871,""non US keyboard layout does not work"",""blocker""";
"79362,""Missing symbols in libxpcom.so (IRIX/gcc)"",""blocker""";
"16519,""NPP_DestroyStream() invoked too often for 4.0 plugin"",""blocker""";
"29870,""Visit http://w3/ causes innfinite loop then crash"",""blocker""";
"79544,""JS error when bringing up Composer"",""blocker""";
"80746,""Mozilla automatically checks the """"Reassign bug to """" radio button in Bugzilla"",""blocker""";
"81118,""Crash in nsImageListener::FrameChanged"",""blocker""";
"80516,""MathML does not build on win32 following landing of XPCDOM"",""blocker""";
"21308,""Linker error in layout/build with SGI/IRIX 6.5"",""blocker""";
"80818,""Crash dragging a link"",""blocker""";
"83687,""Current Proccess directory is always ignored if |bindir| is passed to InitXPCOM"",""blocker""";
"83613,""crash when I go to my 0.9.1 bug list, and then to my 0.9.2 bug list, Trunk & M091 [@ nsRuleNode::WalkRuleTree] [@ nsRuleNode::GetUIResetData]"",""blocker""";
"81537,""Crash in nsHttpConnection::GetSecurityInfo"",""blocker""";
"79585,""need non-blocking OpenCacheEntry()"",""blocker""";
"65661,""XPCOM plugin instances not destroyed"",""blocker""";
"84489,""threadpool assumes runnables are threadsafe"",""blocker""";
"57937,""Accessing cross frame properties from signed jar file fails"",""blocker""";
"67840,""Missing/incomplete nsIFontEnumerator::HaveFontFor method"",""blocker""";
"73313,""Mozilla User Agent string is missing Gecko date."",""blocker""";
"87370,""Multipart documents do not always fire the OnStopRequest"",""blocker""";
"87360,""PSM manager does not work on https sites"",""blocker""";
"22405,""Proxy authentication"",""blocker""";
"71962,""file uploads don't finish"",""blocker""";
"86341,""mail headers become garbage"",""blocker""";
"45697,""[PIDEV] on Mac, nspl file type should be recognized as an XPCOM component"",""blocker""";
"40203,""[FEATURE] """"SSL Proxy""""/SSL Tunneling (use CONNECT for proxied HTTPS URLS)"",""blocker""";
"87397,""Plugins stop working after first clicking on reload once"",""blocker""";
"89529,""browser freezes on loading pages with flash, shockwave"",""blocker""";
"89643,""m92 build is busted in non ASCII pages"",""blocker""";
"90508,""certutil -L -n token:name -h token doesn't give detail information"",""blocker""";
"87025,""filepicker is broken on windows"",""blocker""";
"85822,""crash in [@ nsHttpTransaction::Cancel] [@ nsHttpConnection::ReportProgress] [cancelation not thread-safe]"",""blocker""";
"85802,""Failed DNS lookup results in segfault"",""blocker""";
"85981,""nsStdURL::SchemeIs() method doesn't check for null mScheme"",""blocker""";
"92325,""crash while printing - Trunk [@ PresShell::ResizeReflow]"",""blocker""";
"92443,""Crash opening site with Real Player plugin - Trunk [@ PresShell::UnsuppressAndInvalidate]"",""blocker""";
"58814,""Events must not be sent to Mac Plug-ins twice"",""blocker""";
"93479,""link errors after fastload landing"",""blocker""";
"95744,""errno symbols are not always unique on AIX"",""blocker""";
"95488,""Port number blocking uses 16 - 32 bit compares"",""blocker""";
"95361,""NSPR incorrectly determines thread scheme for HP-UX 10.20"",""blocker""";
"93331,""Printing broken on OpenVMS"",""blocker""";
"94837,""[xlib] xlib port fails to build [nsDeviceContextXlib.cpp:71: `mPaletteInfo' undeclared]"",""blocker""";
"91760,""[xlib] Crash at shutdown in widget clipboard code..."",""blocker""";
"94891,""X-qt will not build"",""blocker""";
"89431,""Mac-Freeze when opening a pdf file from a secure/non-secure link"",""blocker""";
"96440,""Trunk crash in [@ HTMLContentSink::ProcessHeaderData]"",""blocker""";
"19373,""[DOGFOOD]option elements don't update their label correctly"",""blocker""";
"24251,""In IFRAME, referencing a unknown format in SRC will cause a freeze"",""blocker""";
"96610,""Multiple XBL interface implementations not allowed by binding manager"",""blocker""";
"98838,""<select> triggers 100% CPU usage, when visible, flickering caret, possibly missing arrows"",""blocker""";
"82523,""AIX Tinderbox/builds are busted"",""blocker""";
